,[job_title],[location],[company],[senior_level]
1228,"SENIOR DATA ENGINEER, #10586",InspiHER Tech,"Chicago, IL",yes
1229,Director of Data Science Initiative (new posting),Atlanta University Center Consortium,United States,yes
1230,VP of Data Science,Piper Companies,"Arlington, VA 22201",yes
1231,Director of Data Science Experience,DataRobot,"Boston, MA",yes
1232,Director Data Science,LexisNexis SA,"Alpharetta, GA",yes
1233,Senior Data Scientist - eCommerce,Walmart,"Sunnyvale, CA 94086",yes
1234,Senior Analyst - Data Science Surveys Enabling Technologies,Abt Associates,"Durham, NC",yes
1235,SVP Data Integration and Machine Learning,Brains Workgroup,"Great Neck, NY 11022",yes
1236,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
1237,Senior Data Scientist,1 Point System,"Atlanta, GA",yes
1238,Data Science Senior Analyst,Toyota,"Plano, TX 75023",yes
1239,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
1240,VP of Data Science,Piper Companies,"Arlington, VA 22201",yes
1241,SR Data Scientist,Little Caesars,"Detroit, MI",yes
1242,Senior Data Scientist - eCommerce,Walmart,"Sunnyvale, CA 94086",yes
1243,Senior Director - Data Science (NSRL),Nike,"Portland, OR 97218 (Cully area)",yes
1244,Director Data Science,LexisNexis SA,"Alpharetta, GA",yes
1245,Senior Analyst - Data Science Surveys Enabling Technologies,Abt Associates,"Durham, NC",yes
1246,Director of Data Science Experience,DataRobot,"Boston, MA",yes
1247,Head of Data Science,BioTrillion,"San Francisco, CA",yes
1248,Sr. Data Engineer,Gravity Technology Solutions,"Austin, TX",yes
1249,"Sr. Manager, Associate Data Science",Barrington James,"Boston, MA",yes
1250,Senior Data Scientist - eCommerce,Walmart,"Sunnyvale, CA 94086",yes
1251,"SENIOR DATA ENGINEER, #10586",InspiHER Tech,"Chicago, IL",yes
1252,Data Engineer,HCA Healthcare,"Austin, TX 78701 (Downtown area)",yes
1253,Director of Data Science Experience,DataRobot,"Boston, MA",yes
1254,Senior Analyst - Data Science Surveys Enabling Technologies,Abt Associates,"Durham, NC",yes
1255,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
1256,Director Data Science,LexisNexis SA,"Alpharetta, GA",yes
1257,Data Science Senior Analyst,Toyota,"Plano, TX 75023",yes
1258,Senior Director - Data Science (NSRL),Nike,"Portland, OR 97218 (Cully area)",yes
1259,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
1260,SR Data Scientist,Little Caesars,"Detroit, MI",yes
1261,"VP, Data Science",HBO Max,"New York, NY",yes
1262,VP of Data Science,Piper Companies,"Arlington, VA 22201",yes
