,[job_title],[parttime]
647,Data Science Intern,yes
648,Data Scientist,yes
649,Artificial Intelligence (AI) Associate - Data Scientist,yes
650,Data Science Internship,yes
651,Artificial Intelligence (AI) Associate - Data Scientist,yes
652,Data Science Internship,yes
653,Data Engineer,yes
654,Internship - Data Science,yes
655,"Paid Summer Intern - Undergraduate, Data Science",yes
656,Statistician (Data Scientist),yes
657,Data Scientist Intern,yes
658,Data Science Internship,yes
659,Data Scientist / Machine Learning Specialist,yes
660,Data Science Internship,yes
661,Data Scientist / Machine Learning Specialist,yes
662,Artificial Intelligence (AI) Associate - Data Scientist,yes
663,Data Science Internship,yes
664,Data Science Internship,yes
665,Part-Time Lecturer Data Mining/Machine Learning Online,yes
666,Data Scientist,yes
667,Internship - Data Science,yes
668,Data Science & Analytics Intern,yes
669,Adjunct Faculty for Online Data Science Program--Data Analytics - Bay Path University,yes
670,Data Science Graduate Research Assistant Spring 2020 - ICL,yes
671,Data Scientist / Machine Learning Specialist,yes
672,Data Science Internship,yes
673,Artificial Intelligence (AI) Associate - Data Scientist,yes
674,Data Science Internship,yes
675,Part-Time Lecturer Data Mining/Machine Learning Online,yes
676,Data Science & Analytics Intern,yes
677,Data Scientist,yes
678,"Data Science Online Course Instructor (Part-Time, Contract)",yes
679,"Data Science-Online Adjunct, Graduate Level",yes
680,CDC Influenza Data Science Fellowship,yes
681,Data Scientist / Machine Learning Specialist,yes
682,Artificial Intelligence (AI) Associate - Data Scientist,yes
683,Data Science Internship,yes
684,Part-Time Lecturer Data Mining/Machine Learning Online,yes
685,Data Science Internship,yes
686,Internship - Data Science,yes
687,Data Scientist,yes
688,Data Science Graduate Research Assistant Spring 2020 - ICL,yes
689,Adjunct Faculty for Online Data Science Program--Data Analytics - Bay Path University,yes
690,Data Scientist,yes
691,Artificial Intelligence (AI) Associate - Data Scientist,yes
692,Data Scientist / Machine Learning Specialist,yes
693,Data Science Internship,yes
694,Statistician (Data Scientist),yes
695,Internship - Data Science,yes
696,Data Scientist,yes
697,Data Engineer,yes
698,Data Scientist Intern,yes
699,"Paid Summer Intern - Undergraduate, Data Science",yes
700,Data Science Internship,yes
701,Artificial Intelligence (AI) Associate - Data Scientist,yes
702,Statistician (Data Scientist),yes
703,Data Scientist Intern,yes
704,Data Engineer,yes
705,Data Science Internship,yes
706,"Data Science-Online Adjunct, Graduate Level",yes
707,Data Scientist / Machine Learning Specialist,yes
708,"Paid Summer Intern - Undergraduate, Data Science",yes
709,Data Science Internship,yes
710,Data Science Internship,yes
711,Data Science Internship,yes
712,Data Science & Analytics Intern,yes
713,Data Scientist / Machine Learning Specialist,yes
714,CDC Influenza Data Science Fellowship,yes
715,"Data Science-Online Adjunct, Graduate Level",yes
716,Data Science Intern,yes
717,Data Science Intern,yes
718,Data Scientist,yes
719,Artificial Intelligence (AI) Associate - Data Scientist,yes
720,Data Science Internship,yes
721,Artificial Intelligence (AI) Associate - Data Scientist,yes
722,Data Science Internship,yes
723,Data Scientist / Machine Learning Specialist,yes
