,[job_title],[location],[company],[contract]
2191,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
2192,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
2193,Data Scientist / Analyst,Smartlocating Corporation,United States,yes
2194,Jr. Data Scientist,Numero Data LLC,"Herndon, VA",yes
2195,Sr. Data Scientist,Microagility,"Columbus, OH",yes
2196,Sr. Data Scientist,Divish LLC,"Salt Lake City, UT",yes
2197,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
2198,Data Scientist - RPA UIPath,"SolutionIT, Inc.","Carrollton, GA",yes
2199,Data Scientist,Digitalogy,"New York, NY",yes
2200,Data Scientist|| Machine Learning,Expedite LLC,"Broomfield, CO",yes
2201,Data Scientist,Digitalogy,"New York, NY",yes
2202,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
2203,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
2204,Data Scientist,Jnit Technologies,"Seattle, WA",yes
2205,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
2206,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
2207,Data Science Director,FAAZ Consulting,"Alexandria, VA",yes
2208,Data Scientist,Pricesenz,"Broomfield, CO",yes
2209,Data Scientist,"SolGenie Technologies, Inc.","Framingham, MA",yes
2210,Data Analyst/Scientist,Kyber Technologies INC,"Seattle, WA",yes
2211,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
2212,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
2213,Data Scientist,Digitalogy,"New York, NY",yes
2214,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
2215,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
2216,Data Science Director,FAAZ Consulting,"Alexandria, VA",yes
2217,Data Scientist,Pricesenz,"Broomfield, CO",yes
2218,Contract Data Scientist,"DonorBureau, LLC","Franklin, TN 37067",yes
2219,Data Scientist,INSIGMA INC,"Bentonville, AR",yes
2220,Jr. Data Scientist,Numero Data LLC,"Herndon, VA",yes
2221,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
2222,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
2223,Data Science Director,FAAZ Consulting,"Alexandria, VA",yes
2224,Data Engineer,FutureSoft IT,"Detroit, MI",yes
2225,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
2226,Data Scientist,"SolGenie Technologies, Inc.","Framingham, MA",yes
2227,Data Scientist,Pricesenz,"Broomfield, CO",yes
2228,Data Scientist,Jnit Technologies,"Seattle, WA",yes
2229,Data Scientist,Cronus Human Capital,"Rockville, MD",yes
2230,Data Scientist,Kaav inc.,"Dublin, OH",yes
2231,Data Scientist,Cronus Human Capital,"Rockville, MD",yes
2232,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
2233,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
2234,Data Engineer,FutureSoft IT,"Detroit, MI",yes
2235,Sr. Data Scientist,Nuanza inc,"Dallas, TX",yes
2236,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
2237,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
2238,Sr. Data Scientist,Microagility,"Columbus, OH",yes
2239,Data Engineer,Accelalpha,"Seattle, WA",yes
2240,Data Scientist,Kaav inc.,"Dublin, OH",yes
2241,Data Engineer,FutureSoft IT,"Detroit, MI",yes
2242,Data Science Director,FAAZ Consulting,"Alexandria, VA",yes
